id,name,category,identity_verified,website_verified,fees_verified,placements_verified,seats_verified,cutoffs_verified,rankings_verified,primary_source_fees,primary_source_placements,primary_source_seats,fees_status,placements_status,seats_status
"C-71723","DR BHAGAT SINGH RAI INSTITUTE OF TECHNOLOGY SEONI","Legacy Core","true","","true","","","","true","AFRC MP 2024-25 Order No. 147","None","None","official_verified","unavailable","unavailable"
"C-71757","RAJKUMAR GOEL INSTITUTE OF TECHNOLOGY, GHAZIABAD UP","Legacy Core","true","true","true","","","","true","AFRC UP 2024-25 Official Order","None","None","official_verified","unavailable","unavailable"
"C-71803","BR INSTITUTE OF TECHNOLOGY AND MANAGEMENT SCIENCES, YANAMADALA, GUNTUR DISTRICT","Legacy Core","true","true","true","","","","true","APSCHE EAPCET 2024 G.O. Ms. No. 17","None","None","official_verified","unavailable","unavailable"
"C-71806","ANGEL COMMUNITY COLLEGE OF FIRE SAFETY","Legacy Core","true","","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","unavailable"
"C-71823","AFFINITY INSTITUTE OF MEDICAL SCIENCE","Legacy Core","true","","","","","","true","Fee Regulation Slab — Odisha (2024-25)","None","None","legacy","unavailable","unavailable"
"C-71889","BHASKAR INSTITUTE OF TECHNOLOGY AND SCIENCE","Legacy Core","true","","true","","","","true","APSCHE EAPCET 2024 G.O. Ms. No. 17","NIRF 2024","None","official_verified","legacy","unavailable"
"C-71891","BALAJI INSTITUTE OF TECHNOLOGY","Legacy Core","true","","true","","","","true","TNEA 2024 Official Notification","None","None","official_verified","unavailable","unavailable"
"C-71408","BUDDHA INSTITUTE OF MANAGEMENT","Legacy Core","true","","true","","","","true","AFRC UP 2024-25 Official Order","None","None","official_verified","unavailable","unavailable"
"C-72005","SRI SAI INSTITUTE OF MANAGEMENT SCIENCE","Legacy Core","true","","true","","","","true","APSCHE EAPCET 2024 G.O. Ms. No. 17","None","None","official_verified","unavailable","unavailable"
"C-72042","SANT SAMARTH INSTITUTE OF MANAGEMENT","Legacy Core","true","","","","","","true","Fee Regulation Slab — Telangana (2024-25)","None","None","legacy","unavailable","unavailable"
"C-72064","SANJIVANI RURAL EDUCATION SOCIETYS SANJIVANI INSTITUTE OF MANAGEMENT STUDIES","Legacy Core","true","","","","","","true","Fee Regulation Slab — Maharashtra (2024-25)","None","None","legacy","unavailable","unavailable"
"C-72089","DARSHAN INSTITUTE OF MANAGEMENT","Legacy Core","true","","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","legacy"
"C-72092","DARSHAN INSTITUTE OF HUMANITIES","Legacy Core","true","","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","legacy"
"C-72155","SHRI BABU SINGH INSTITUTE OF TECHNOLOGY AND MANAGEMENT","Legacy Core","true","","true","","","","true","AFRC UP 2024-25 Official Order","None","None","official_verified","unavailable","unavailable"
"C-72183","UNIVERSITY COLLEGE OF MANAGEMENT HYDERABAD","Legacy Core","true","","","","","","true","Fee Regulation Slab — Telangana (2024-25)","None","None","legacy","unavailable","unavailable"
"C-72188","SHRI NAVJEEVAN DIPLOMA IN HEALTH AND SANITARY INSPECTOR","Legacy Core","true","","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","unavailable"
"C-72278","JMS INSTITUTE OF TECHNOLOGY, GHAZIABAD","Legacy Core","true","true","true","","","","true","AFRC UP 2024-25 Official Order","NIRF 2024","None","official_verified","legacy","unavailable"
"C-33530","Angel  Charities Fr. C. Rodrigues Institute of Technology, Sector 9- A, Vashi, Navi Mumbai - 400703","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","None","None","official_verified","unavailable","unavailable"
"C-46231","GREATER NOIDA INSTITUTE OF TECHNOLOGY (ENGINEERING INSTITUTE)","Legacy Core","true","true","true","","","","true","AFRC UP 2024-25 Official Order","None","None","official_verified","unavailable","unavailable"
"C-8868","240074-R.C.PATEL EDU.TRUST'S INSTITUTE OF MANAGEMENT RESEARCH&DEVELOPMENT, SHIRPUR","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Maharashtra (2024-25)","None","None","legacy","unavailable","unavailable"
"C-9001","220104-SGSSS'S P.G. INSTITUTE OF MANAGEMENT & RESEARCH, CHAUPALE, TAL&DIST-NANDURBAR","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Maharashtra (2024-25)","None","None","legacy","unavailable","unavailable"
"C-6528","Dr.B.R. Ambedkar Institute of Technology","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","unavailable"
"C-9027","100010-KCES'S INSTITUTE OF MANAGEMENT & RESEARCH, JALGAON.","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Maharashtra (2024-25)","None","None","legacy","unavailable","unavailable"
"C-9046","D440 Synergy Institute of management Raichur","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Karnataka (2024-25)","None","None","legacy","unavailable","unavailable"
"S-16171","Chaitanya Bharathi Institute of Technology (Polytechnic)","Legacy Core","true","","true","","","","true","APSCHE EAPCET 2024 G.O. Ms. No. 17","None","None","official_verified","unavailable","unavailable"
"S-496","AMBEDKAR INSTITUTE OF MANAGEMENT STUDIES","Legacy Core","true","","","","","","true","Fee Regulation Slab — Andhra Pradesh (2024-25)","None","None","legacy","unavailable","unavailable"
"S-18320","Sonitpur Polytechnic","Legacy Core","true","","","","","","true","Fee Regulation Slab — Assam (2024-25)","None","None","legacy","unavailable","unavailable"
"S-21837","GNM TRAINING SCHOOL, NALBARI MATERNITY HOSPITAL, NALBARI","Legacy Core","true","","","","","","true","Fee Regulation Slab — Assam (2024-25)","None","None","legacy","unavailable","unavailable"
"S-5716","NORMAL SCHOOL SONITPUR","Legacy Core","true","","","","","","true","Fee Regulation Slab — Assam (2024-25)","None","None","legacy","unavailable","unavailable"
"S-5712","DIET SONITPUR","Legacy Core","true","","","","","","true","Fee Regulation Slab — Assam (2024-25)","None","None","legacy","unavailable","unavailable"
