id,name,category,identity_verified,website_verified,fees_verified,placements_verified,seats_verified,cutoffs_verified,rankings_verified,primary_source_fees,primary_source_placements,primary_source_seats,fees_status,placements_status,seats_status
"U-1092","ALL INDIA INSTITUTE OF MEDICAL SCIENCES (AIIMS), RAEBARELI","Legacy Core","true","true","true","","","","true","AIIMS Delhi Fee Structure 2024-25","NIRF 2024","None","official_verified","legacy","legacy"
"U-1304","ALL INDIA INSTITUTE OF MEDICAL SCIENCES MADURAI","Legacy Core","true","true","true","","","","true","AIIMS Delhi Fee Structure 2024-25","NIRF 2024","None","official_verified","legacy","legacy"
"U-1051","ALL INDIA INSTITUTE OF MEDICAL SCIENCES NAGPUR","Legacy Core","true","true","true","","","","true","AIIMS Nagpur Fee Structure 2024-25","NIRF 2024","None","official_verified","legacy","legacy"
"U-0687","ALL INDIA INSTITUTE OF MEDICAL SCIENCES, BHOPAL","Legacy Core","true","true","true","","","","true","AIIMS Bhopal Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0688","ALL INDIA INSTITUTE OF MEDICAL SCIENCES, BHUBANESWAR","Legacy Core","true","true","true","","","","true","AIIMS Bhubaneswar Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-1107","ALL INDIA INSTITUTE OF MEDICAL SCIENCES, GUWAHATI","Legacy Core","true","true","true","","","","true","AIIMS Delhi Fee Structure 2024-25","NIRF 2024","None","official_verified","legacy","legacy"
"U-0689","ALL INDIA INSTITUTE OF MEDICAL SCIENCES, JODHPUR","Legacy Core","true","true","true","","","","true","AIIMS Jodhpur Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0961","ALL INDIA INSTITUTE OF MEDICAL SCIENCES, MANGALAGIRI","Legacy Core","true","true","true","","","","true","AIIMS Delhi Fee Structure 2024-25","NIRF 2024","None","official_verified","legacy","legacy"
"U-0686","ALL INDIA INSTITUTE OF MEDICAL SCIENCES, PATNA","Legacy Core","true","true","true","","","","true","AIIMS Patna Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0690","ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RAIPUR","Legacy Core","true","true","true","","","","true","AIIMS Raipur Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-1191","ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RAJKOT","Legacy Core","true","true","true","","","","true","AIIMS Delhi Fee Structure 2024-25","NIRF 2024","None","official_verified","legacy","legacy"
"U-0691","ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH","Legacy Core","true","true","true","","","","true","AIIMS Rishikesh Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"S-21765","APEEJAY INSTITUTE OF DESIGN","private/state","true","","","","","","","Fee Regulation Slab — Delhi (2024-25)","None","None","legacy","unavailable","unavailable"
"S-20819","APEEJAY INSTITUTE OF MASS COMMUNICATION","private/state","true","","","","","","","Fee Regulation Slab — Delhi (2024-25)","None","None","legacy","unavailable","unavailable"
"C-46789","APEEJAY INSTITUTE OF TECHNOLOGY SCHOOL OF ARCHITECTURE AND PLANNING, GREATERÂ NOIDA","Legacy Core","true","true","true","","","","true","AFRC UP 2024-25 Official Order","None","None","official_verified","unavailable","unavailable"
"S-757","APEEJAY SCHOOL OF MANAGEMENT","private/state","true","","","","","","","Fee Regulation Slab — Delhi (2024-25)","None","None","legacy","unavailable","unavailable"
"CORE-ALLINDIAINSTITUTEOFMEDICALSCIENCESDELHI","All India Institute of Medical Sciences Delhi","AIIMS","true","true","true","","","","true","AIIMS Delhi Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"CORE-ALLINDIAINSTITUTEOFMEDICALSCIENCESGORAKHPUR","All India Institute of Medical Sciences Gorakhpur","AIIMS","true","","","","","","","None","None","None","unavailable","unavailable","unavailable"
"U-0096","All India Institute of Medical Sciences, New Delhi","AIIMS","true","true","true","","","","true","AIIMS Delhi Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0156","Apeejay  Stya University, Sohna","Legacy Core","true","true","","","","","","Fee Regulation Slab — Haryana (2024-25)","None","None","legacy","unavailable","unavailable"
"C-33700","Apeejay Education Trust, Apeejay Institute Of Hospitality, Plot No 1, Sector-10, CBD Belapur, Navi-Mumbai - 400 614","private/state","true","true","","","","","","Fee Regulation Slab — Maharashtra (2024-25)","None","None","legacy","unavailable","unavailable"
"C-10383","Apeejay Institute of Management & Engineering Technical Campus, Jalandhar","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","None","None","official_verified","unavailable","unavailable"
"C-28269","Apeejay Saraswati College for Girls","private/state","true","true","","","","","","Fee Regulation Slab — Haryana (2024-25)","None","None","legacy","unavailable","unavailable"
"U-0267","Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior","IIIT","true","true","true","","","","true","AFRC MP 2024-25 Order No. 147","NIRF 2024","None","official_verified","legacy","unavailable"
"C-55231","BIRLA INSTITUTE OF TECHNOLOGY AND SCIENCE PILANI,HYDERABAD CAMPUS","Legacy Core","true","true","true","","","","true","BITS Hyderabad Fee Structure 2024-25","None","None","official_verified","unavailable","unavailable"
"C-30165","Barrister Ranjit Mohanty  International Institute of Technology (BRMIIT), Bhubaneswar","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","None","None","official_verified","unavailable","unavailable"
"C-61982","Birla Institute of Technology and Science Pilani","Legacy Core","true","true","true","true","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","official_verified","unavailable"
"U-0374","Dr. B. R. Ambedkar National Institute of Technology, Jalandhar","NIT","true","true","true","","","","true","NIT Jalandhar Fee Structure 2024-25","None","None","official_verified","unavailable","unavailable"
"U-1193","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY","Legacy Core","true","true","true","","","","true","AFRC MP 2024-25 Order No. 147","NIRF 2024","None","official_verified","legacy","legacy"
"U-0953","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY BHAGALPUR","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","unavailable"
"U-1089","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY RAICHUR","Legacy Core","true","true","true","","","","true","KEA UGCET 2024 Notification","NIRF 2024","None","official_verified","legacy","legacy"
"U-0954","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SURAT","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","legacy"
"C-63929","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY VADODARA INTERNATIONAL CAMPUS DIU","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","unavailable"
"U-0803","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, DHARWAD","Legacy Core","true","true","true","","","","true","KEA UGCET 2024 Notification","NIRF 2024","None","official_verified","legacy","legacy"
"U-0795","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, GUWAHATI","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","legacy"
"U-0796","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KALYANI","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","unavailable"
"U-0799","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTA","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","unavailable"
"U-0802","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTTAYAM","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","unavailable"
"U-0801","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, LUCKNOW","Legacy Core","true","true","true","","","","true","AFRC UP 2024-25 Official Order","NIRF 2024","None","official_verified","legacy","unavailable"
"U-0841","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, NAGPUR","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","unavailable"
"U-0804","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, PUNE","Legacy Core","true","true","true","","","","true","MahaFRA Official Online Portal","NIRF 2024","None","official_verified","legacy","unavailable"
"U-0840","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, RANCHI","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","unavailable"
"U-0770","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SENAPATI","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","unavailable"
"U-0800","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SONIPAT","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","unavailable"
"U-0760","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SRI CITY","Legacy Core","true","true","true","","","","true","APSCHE EAPCET 2024 G.O. Ms. No. 17","NIRF 2024","None","official_verified","legacy","unavailable"
"U-0754","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SRIRANGAM","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","legacy"
"U-0797","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, UNA","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","unavailable"
"U-0798","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, VADODARA","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","legacy"
"U-1016","INDIAN INSTITUTE OF MANAGEMENT AHMEDABAD","Legacy Core","true","true","true","","","","true","IIM Ahmedabad Fee Structure 2024-26","None","None","official_verified","unavailable","legacy"
"U-1001","INDIAN INSTITUTE OF MANAGEMENT AMRITSAR","Legacy Core","true","true","true","","","","true","IIM Amritsar Fee Structure 2024-26","None","None","official_verified","unavailable","legacy"
"C-65915","INDIAN INSTITUTE OF MANAGEMENT AND SCIENCE","Legacy Core","true","true","true","","","","true","IISc Bangalore Fee Structure 2024-25","NIRF 2024","None","official_verified","legacy","legacy"
"U-1014","INDIAN INSTITUTE OF MANAGEMENT BANGALORE","Legacy Core","true","true","true","","","","true","IIM Bangalore Fee Structure 2024-26","None","None","official_verified","unavailable","legacy"
"U-1006","INDIAN INSTITUTE OF MANAGEMENT BODH GAYA","Legacy Core","true","true","true","","","","true","IIM Bodh Gaya Fee Structure 2024-26","None","None","official_verified","unavailable","unavailable"
"U-1012","INDIAN INSTITUTE OF MANAGEMENT INDORE","Legacy Core","true","true","true","","","","true","IIM Indore Fee Structure 2024-26","None","None","official_verified","unavailable","legacy"
"U-1009","INDIAN INSTITUTE OF MANAGEMENT KASHIPUR","Legacy Core","true","true","true","","","","true","IIM Kashipur Fee Structure 2024-26","None","None","official_verified","unavailable","legacy"
"U-1013","INDIAN INSTITUTE OF MANAGEMENT KOZHIKODE","Legacy Core","true","true","true","","","","true","IIM Kozhikode Fee Structure 2024-26","None","None","official_verified","unavailable","legacy"
"U-1008","INDIAN INSTITUTE OF MANAGEMENT LUCKNOW","Legacy Core","true","true","true","","","","true","IIM Lucknow Fee Structure 2024-26","None","None","official_verified","unavailable","legacy"
"U-1017","INDIAN INSTITUTE OF MANAGEMENT RAIPUR","Legacy Core","true","true","true","","","","true","IIM Raipur Fee Structure 2024-26","None","None","official_verified","unavailable","legacy"
"U-1003","INDIAN INSTITUTE OF MANAGEMENT RANCHI","Legacy Core","true","true","true","","","","true","IIM Ranchi Fee Structure 2024-26","None","None","official_verified","unavailable","legacy"
"U-1015","INDIAN INSTITUTE OF MANAGEMENT ROHTAK","Legacy Core","true","true","true","","","","true","IIM Rohtak Fee Structure 2024-26","None","None","official_verified","unavailable","legacy"
"U-1002","INDIAN INSTITUTE OF MANAGEMENT SAMBALPUR","Legacy Core","true","true","true","","","","true","IIM Sambalpur Fee Structure 2024-26","None","None","official_verified","unavailable","legacy"
"U-1005","INDIAN INSTITUTE OF MANAGEMENT SIRMAUR","Legacy Core","true","true","true","","","","true","IIM Sirmaur Fee Structure 2024-26","None","None","official_verified","unavailable","legacy"
"U-1000","INDIAN INSTITUTE OF MANAGEMENT TIRUCHIRAPALLI","Legacy Core","true","true","true","","","","true","IIM Ahmedabad Fee Structure 2024-26","NIRF 2024","None","official_verified","legacy","legacy"
"U-1010","INDIAN INSTITUTE OF MANAGEMENT UDAIPUR","Legacy Core","true","true","true","","","","true","IIM Udaipur Fee Structure 2024-26","None","None","official_verified","unavailable","legacy"
"U-1007","INDIAN INSTITUTE OF MANAGEMENT VISAKHAPATNAM","Legacy Core","true","true","true","","","","true","IIM Vizag Fee Structure 2024-26","None","None","official_verified","unavailable","legacy"
"U-1004","INDIAN INSTITUTE OF MANAGEMENT, JAMMU AND KASHMIR","Legacy Core","true","true","true","","","","true","IIM Jammu Fee Structure 2024-26","NIRF 2024","None","official_verified","legacy","unavailable"
"U-1019","INDIAN INSTITUTE OF MANAGEMENT, KOLKATA","Legacy Core","true","true","true","","","","true","IIM Ahmedabad Fee Structure 2024-26","NIRF 2024","None","official_verified","legacy","legacy"
"U-1018","INDIAN INSTITUTE OF MANAGEMENT, NAGPUR","Legacy Core","true","true","true","","","","true","IIM Nagpur Fee Structure 2024-26","None","None","official_verified","unavailable","legacy"
"U-1011","INDIAN INSTITUTE OF MANAGEMENT, SHILLONG","Legacy Core","true","true","true","","","","true","IIM Shillong Fee Structure 2024-26","None","None","official_verified","unavailable","legacy"
"U-1283","INDIAN INSTITUTE OF MANAGEMENT,MUMBAI","Legacy Core","true","","true","","","","true","IIM Ahmedabad Fee Structure 2024-26","NIRF 2024","None","official_verified","legacy","unavailable"
"U-1158","Indian Institute of Information Technology Agartala","IIIT","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","unavailable"
"U-0863","Indian Institute of Information Technology Design And Manufacturing, Kurnool","IIIT","true","true","true","","","","true","APSCHE EAPCET 2024 G.O. Ms. No. 17","NIRF 2024","None","official_verified","legacy","unavailable"
"CORE-INDIANINSTITUTEOFINFORMATIONTECHNOLOGYGWALIOR","Indian Institute of Information Technology Gwalior","IIIT","true","","true","true","","","","IIIT Gwalior Fee Structure 2024-25","IIIT Gwalior Placement Report 2024","None","official_verified","official_verified","unavailable"
"CORE-INDIANINSTITUTEOFINFORMATIONTECHNOLOGYHYDERABAD","Indian Institute of Information Technology Hyderabad","IIIT","true","","true","","","","true","IIIT Hyderabad Fee Structure 2024-25","None","None","official_verified","unavailable","unavailable"
"CORE-INDIANINSTITUTEOFINFORMATIONTECHNOLOGYJABALPUR","Indian Institute of Information Technology Jabalpur","IIIT","true","","","","","","","None","None","None","unavailable","unavailable","unavailable"
"CORE-INDIANINSTITUTEOFINFORMATIONTECHNOLOGYKANCHEEPURAM","Indian Institute of Information Technology Kancheepuram","IIIT","true","","","","","","","None","None","None","unavailable","unavailable","unavailable"
"U-0516","Indian Institute of Information Technology, Allahabad","IIIT","true","true","true","","","","true","IIIT Allahabad Fee Structure 2024-25","None","None","official_verified","unavailable","unavailable"
"U-0455","Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","IIIT","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","legacy"
"C-56451","Indian Institute of Information Technology, Dharwad","IIIT","true","true","true","","","","true","KEA UGCET 2024 Notification","NIRF 2024","None","official_verified","legacy","legacy"
"CORE-INDIANINSTITUTEOFMANAGEMENTCALCUTTA","Indian Institute of Management Calcutta","IIM","true","true","true","","","","true","IIM Calcutta Fee Structure 2024-26","None","None","official_verified","unavailable","legacy"
"CORE-INDIANINSTITUTEOFMANAGEMENTJAMMU","Indian Institute of Management Jammu","IIM","true","","true","true","","","","IIM Jammu Fee Structure 2024-26","IIM Jammu Placement Report 2024","None","official_verified","official_verified","unavailable"
"CORE-INDIANINSTITUTEOFMANAGEMENTTIRUCHIRAPPALLI","Indian Institute of Management Tiruchirappalli","IIM","true","","true","","","","true","IIM Trichy Fee Structure 2024-26","None","None","official_verified","unavailable","unavailable"
"C-25468","Indian Institute of Management and commerce","IIM","true","true","true","","","","true","AFRC MP 2024-25 Order No. 147","None","None","official_verified","unavailable","unavailable"
"U-0701","Indian Institute of Technology (Banaras Hindu University), Varanasi","IIT","true","true","true","","","","true","AFRC UP 2024-25 Official Order","NIRF 2024","None","official_verified","legacy","unavailable"
"U-0205","Indian Institute of Technology (Indian School of Mines), Dhanbad","IIT","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","unavailable"
"CORE-INDIANINSTITUTEOFTECHNOLOGYBHU","Indian Institute of Technology BHU","IIT","true","","true","","","","true","IIT BHU Fee Circular 2024-25","None","None","official_verified","unavailable","unavailable"
"U-0946","Indian Institute of Technology Bhilai","IIT","true","true","true","","","","true","IIT Bhilai Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"CORE-INDIANINSTITUTEOFTECHNOLOGYBHUBANESWAR","Indian Institute of Technology Bhubaneswar","IIT","true","","true","","","","true","IIT Bhubaneswar Fee Structure 2024-25","None","None","official_verified","unavailable","unavailable"
"CORE-INDIANINSTITUTEOFTECHNOLOGYBOMBAY","Indian Institute of Technology Bombay","IIT","true","true","true","","","true","true","IIT Bombay Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"CORE-INDIANINSTITUTEOFTECHNOLOGYDHANBAD","Indian Institute of Technology Dhanbad","IIT","true","","true","","","","true","IIT ISM Fee Structure 2024-25","None","None","official_verified","unavailable","unavailable"
"U-0906","Indian Institute of Technology Jammu","IIT","true","true","true","","","","true","IIT Jammu Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"CORE-INDIANINSTITUTEOFTECHNOLOGYMADRAS","Indian Institute of Technology Madras","IIT","true","true","true","","","true","true","IIT Madras Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0355","Indian Institute of Technology, Bhubaneshwar","IIT","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","legacy"
"U-0456","Indian Institute of Technology, Chennai","IIT","true","true","true","true","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","official_verified","legacy"
"U-0100","Indian Institute of Technology, Delhi","IIT","true","true","true","true","","true","true","IIT Delhi Fee Structure 2024-25","NIRF 2024","None","official_verified","official_verified","legacy"
"U-0899","Indian Institute of Technology, Dharwad","IIT","true","true","true","","","","true","IIT Dharwad Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0139","Indian Institute of Technology, Gandhinagar","IIT","true","true","true","","","","true","IIT Gandhinagar Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0907","Indian Institute of Technology, Goa","IIT","true","true","true","","","","true","IIT Goa Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0053","Indian Institute of Technology, Guwahati","IIT","true","true","true","true","","","true","IIT Guwahati Fee Structure 2024-25","NIRF 2024","None","official_verified","official_verified","legacy"
"U-0013","Indian Institute of Technology, Hyderabad","IIT","true","true","true","true","","","true","IIT Hyderabad Fee Structure 2024-25","NIRF 2024","None","official_verified","official_verified","legacy"
"U-0273","Indian Institute of Technology, Indore","IIT","true","true","true","true","","","true","IIT Indore Fee Structure 2024-25","NIRF 2024","None","official_verified","official_verified","legacy"
"U-0395","Indian Institute of Technology, Jodhpur","IIT","true","true","true","","","","true","IIT Jodhpur Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0517","Indian Institute of Technology, Kanpur","IIT","true","true","true","true","","true","true","IIT Kanpur Fee Structure 2024-25","NIRF 2024","None","official_verified","official_verified","legacy"
"U-0573","Indian Institute of Technology, Kharagpur","IIT","true","true","true","true","","","true","IIT Kharagpur Fee Structure 2024-25","NIRF 2024","None","official_verified","official_verified","legacy"
"U-0184","Indian Institute of Technology, Mandi","IIT","true","true","true","true","","","true","IIT Mandi Fee Structure 2024-25","NIRF 2024","None","official_verified","official_verified","legacy"
"U-0306","Indian Institute of Technology, Mumbai","IIT","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","legacy"
"U-0878","Indian Institute of Technology, Palakkad","IIT","true","true","true","","","","true","IIT Palakkad Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0064","Indian Institute of Technology, Patna","IIT","true","true","true","true","","","true","IIT Patna Fee Structure 2024-25","NIRF 2024","None","official_verified","official_verified","legacy"
"U-0560","Indian Institute of Technology, Roorkee","IIT","true","true","true","true","","","true","IIT Roorkee Fee Structure 2024-25","NIRF 2024","None","official_verified","official_verified","legacy"
"U-0378","Indian Institute of Technology, Ropar","IIT","true","true","true","true","","","true","IIT Ropar Fee Structure 2024-25","NIRF 2024","None","official_verified","official_verified","legacy"
"U-0844","Indian Institute of Technology, Tirupati","IIT","true","true","true","","","","true","IIT Tirupati Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"C-19308","International Institute of Technology & Management","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","unavailable"
"C-46974","MEERUT INTERNATIONAL INSTITUTE OF TECHNOLOGY, MEERUT","Legacy Core","true","true","true","","","","true","AFRC UP 2024-25 Official Order","None","None","official_verified","unavailable","unavailable"
"CORE-MALAVIYANATIONALINSTITUTEOFTECHNOLOGYJAIPUR","Malaviya National Institute of Technology Jaipur","NIT","true","","true","","","","true","MNIT Jaipur Fee Structure 2024-25","None","None","official_verified","unavailable","unavailable"
"U-0410","Malviya National Institute of Technology, Jaipur","NIT","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","unavailable"
"CORE-MANIPALINSTITUTEOFTECHNOLOGY","Manipal Institute of Technology","Legacy Core","true","true","true","","","","true","MIT Manipal Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"C-7252","Manipal Institute of Technology, Manipal","Legacy Core","true","true","true","true","","","true","KEA UGCET 2024 Notification","NIRF 2024","None","official_verified","official_verified","legacy"
"U-0284","Maulana Azad National Institute of Technology, Bhopal","NIT","true","true","true","true","","","true","MANIT Bhopal Fee Structure 2024-25","NIRF 2024","None","official_verified","official_verified","unavailable"
"U-0530","Motilal Nehru National Institute of Technology, Allahabad","NIT","true","true","true","","","","true","MNNIT Fee Structure 2024-25","None","None","official_verified","unavailable","unavailable"
"U-0855","NATIONAL INSTITUTE OF TECHNOLOGY, ANDHRA PRADESH","Legacy Core","true","true","true","","","","true","NIT Andhra Pradesh Fee Structure 2024-25","None","None","official_verified","unavailable","unavailable"
"U-0615","National Institute of Technology Arunachal Pradesh","NIT","true","true","true","","","","true","NIT Arunachal Pradesh Fee Structure 2024-25","None","None","official_verified","unavailable","unavailable"
"U-0622","National Institute of Technology Delhi","NIT","true","true","true","","","","true","NIT Delhi Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0620","National Institute of Technology Goa","NIT","true","true","true","","","","true","NIT Goa Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"CORE-NATIONALINSTITUTEOFTECHNOLOGYKARNATAKASURATHKAL","National Institute of Technology Karnataka Surathkal","NIT","true","","true","","","","true","NIT Surathkal Fee Structure 2024-25","None","None","official_verified","unavailable","unavailable"
"U-0613","National Institute of Technology Manipur","NIT","true","true","true","","","","true","NIT Manipur Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0619","National Institute of Technology Meghalaya","NIT","true","true","true","","","","true","NIT Meghalaya Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0617","National Institute of Technology Mizoram","NIT","true","true","true","","","","true","NIT Mizoram Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0618","National Institute of Technology Nagaland","NIT","true","true","true","","","","true","NIT Nagaland Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0621","National Institute of Technology Puducherry","NIT","true","true","true","","","","true","NIT Puducherry Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0614","National Institute of Technology Sikkim","NIT","true","true","true","","","","true","NIT Sikkim Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"CORE-NATIONALINSTITUTEOFTECHNOLOGYTIRUCHIRAPPALLI","National Institute of Technology Tiruchirappalli","NIT","true","true","true","","","true","true","NIT Trichy Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0616","National Institute of Technology Uttarakhand","NIT","true","true","true","","","","true","NIT Uttarakhand Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0493","National Institute of Technology, Agartala","NIT","true","true","true","","","","true","NIT Agartala Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0263","National Institute of Technology, Calicut","NIT","true","true","true","","","","true","NIT Calicut Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0577","National Institute of Technology, Durgapur","NIT","true","true","true","true","","","true","NIT Durgapur Fee Structure 2024-25","NIRF 2024","None","official_verified","official_verified","legacy"
"U-0189","National Institute of Technology, Hamirpur","NIT","true","true","true","","","","true","NIT Hamirpur Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0207","National Institute of Technology, Jamshedpur","NIT","true","true","true","","","","true","NIT Jamshedpur Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0237","National Institute of Technology, Karnataka","NIT","true","true","true","","","","true","KEA UGCET 2024 Notification","NIRF 2024","None","official_verified","legacy","legacy"
"U-0172","National Institute of Technology, Kurukshetra","NIT","true","true","true","","","","true","NIT Kurukshetra Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0072","National Institute of Technology, Patna","NIT","true","true","true","","","","true","NIT Patna Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0092","National Institute of Technology, Raipur","NIT","true","true","true","","","","true","NIT Raipur Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0357","National Institute of Technology, Rourkela","NIT","true","true","true","","","","true","NIT Rourkela Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0055","National Institute of Technology, Silchar","NIT","true","true","true","true","","","true","NIT Silchar Fee Structure 2024-25","NIRF 2024","None","official_verified","official_verified","legacy"
"U-0197","National Institute of Technology, Srinagar","NIT","true","true","true","","","","true","NIT Srinagar Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0467","National Institute of Technology, Tiruchirapalli","NIT","true","true","true","true","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","official_verified","legacy"
"U-0025","National Institute of Technology, Warangal","NIT","true","true","true","","","","true","NIT Warangal Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0286","Pandhi Dwarka Prasad Mishra Indian Institute of Information Technology & Manufacturing , Jabalpur","IIIT","true","true","true","","","","true","AFRC MP 2024-25 Order No. 147","NIRF 2024","None","official_verified","legacy","unavailable"
"S-19023","SATYAM INTERNATIONAL INSTITUTE OF TECHNOLOGY","Legacy Core","true","","true","","","","true","TNEA 2024 Official Notification","None","None","official_verified","unavailable","unavailable"
"C-71440","SATYAM INTERNATIONAL INSTITUTE OF TECHNOLOGY AND MANAGEMENT","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","None","None","official_verified","unavailable","unavailable"
"U-0149","Sardar Vallabhbhai National Institute of Technology, Surat","NIT","true","true","true","","","","true","SVNIT Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"C-8627","Sikkim Manipal Institute of Technology (SMIT)","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","legacy"
