id,name,source_family,has_seats,has_cutoffs,has_fees,has_placements,has_provenance,truth_density_score,recommendation,reason,blocker_or_review_flag
"CORE-GHANI-KHAN-CHOUDHARY-INSTITUTE-OF-ENGINEERING-AND-TECHNOLOGY-MALDA-WEST-BENGAL","Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal","OTHER","true","true","true","","","75","NEEDS_MANUAL_REVIEW","Non-elite with full truth - check cohort inclusion policy","REVIEW_HIGH"
"CORE-INSTITUTE-OF-INFRASTRUCTURE-TECHNOLOGY-RESEARCH-AND-MANAGEMENT-AHMEDABAD","Institute of Infrastructure, Technology, Research and Management-Ahmedabad","OTHER","true","true","true","","","75","NEEDS_MANUAL_REVIEW","Non-elite with full truth - check cohort inclusion policy","REVIEW_HIGH"
"CORE-INTERNATIONAL-INSTITUTE-OF-INFORMATION-TECHNOLOGY-BHUBANESWAR","International Institute of Information Technology, Bhubaneswar","OTHER","true","true","true","","","75","NEEDS_MANUAL_REVIEW","Non-elite with full truth - check cohort inclusion policy","REVIEW_HIGH"
"CORE-INTERNATIONAL-INSTITUTE-OF-INFORMATION-TECHNOLOGY-NAYA-RAIPUR","International Institute of Information Technology, Naya Raipur","OTHER","true","true","true","","","75","NEEDS_MANUAL_REVIEW","Non-elite with full truth - check cohort inclusion policy","REVIEW_HIGH"
"CORE-GATI-SHAKTI-VISHWAVIDYALAYA-VADODARA","Gati Shakti Vishwavidyalaya, Vadodara","OTHER","true","true","true","","","75","NEEDS_MANUAL_REVIEW","Non-elite with full truth - check cohort inclusion policy","REVIEW_HIGH"
"CORE-INSTITUTE-OF-ENGINEERING-AND-TECHNOLOGY-DR-H-S-GOUR-UNIVERSITY-SAGAR","Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)","UNIVERSITY","true","true","true","","","75","NEEDS_MANUAL_REVIEW","Non-elite with full truth - check cohort inclusion policy","REVIEW_HIGH"
"CORE-NATIONAL-INSTITUTE-OF-ADVANCED-MANUFACTURING-TECHNOLOGY-RANCHI","National Institute of Advanced Manufacturing Technology, Ranchi","OTHER","true","true","true","","","75","NEEDS_MANUAL_REVIEW","Non-elite with full truth - check cohort inclusion policy","REVIEW_HIGH"
"CORE-PUDUCHERRY-TECHNOLOGICAL-UNIVERSITY-PUDUCHERRY","Puducherry Technological University, Puducherry","UNIVERSITY","true","true","true","","","75","NEEDS_MANUAL_REVIEW","Non-elite with full truth - check cohort inclusion policy","REVIEW_HIGH"
"CORE-SCHOOL-OF-STUDIES-OF-ENGINEERING-AND-TECHNOLOGY-GURU-GHASIDAS-VISHWAVIDYALAYA-BILASPUR","School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur","OTHER","true","true","true","","","75","NEEDS_MANUAL_REVIEW","Non-elite with full truth - check cohort inclusion policy","REVIEW_HIGH"
