cei_id,institution_name,category,state,district,university_affiliation,aishe_code,F_zscore,I_zscore,S_zscore,D_zscore,U_zscore,raw_composite,cei_score,competitiveness_band,verification_status
CEI-IN-21CF69E446B7,"Doon Valley Institute of Pharmacy & Medical outside Jundla Gate, Karnal",College,Haryana,Karnal,,C-30759,-0.06258739824147593,0.16361464930925126,0.11554850398800073,-0.25000300107637025,-0.6154073776638432,3.5039084929286726,52.647163330569704,Moderate,VERIFIED
CEI-IN-A48A8F0F9347,Himalayan College of Education,College,Jammu and Kashmir,Rajouri,,C-30804,-0.008941056891639378,0.4262545808455522,0.8896093466713637,0.0968092051163563,1.5341346170458419,8.615876376304065,82.69769829049706,Competitive,VERIFIED
CEI-IN-F004D1A80204,"Anchalik Mahavidyalaya,Kusang",College,Odisha,Balangir,,C-40829,0.5275223566067253,1.104614420472956,1.3534970084199416,0.6028479070168238,-1.458480457242735,12.171657836406638,92.40198981404714,High,VERIFIED
CEI-IN-78728B32B09B,National Institute of Oceanography,College,Goa,North Goa,,C-30826,-0.3844654463404946,-0.5572259644160416,-0.4352583615098916,0.7432253508658064,-0.8325542771902843,-0.018428665712080683,27.11319041414979,Moderate,VERIFIED
CEI-IN-225BF2D0EE4F,Vidya Vikas Mandals Shree Damodar College of Commerce & Economics Margao,College,Goa,South Goa,,C-30846,1.6004491836034545,0.006261385900439176,-0.8044447205141843,-0.4246315601459654,-0.019264721156748838,6.769760118335776,74.23111848079277,Competitive,VERIFIED
CEI-IN-7159B290C8E0,Goa College of Pharmacy  Panaji,College,Goa,North Goa,,C-30858,2.136912597101819,0.8318994867382403,1.364645950916825,-0.27345712012831835,-1.7239028905161928,15.836248674185585,96.5869161830313,High,VERIFIED
CEI-IN-B52202891166,Ponda Education Society's Ravi S Naik College of Arts & Science,College,Goa,South Goa,,C-30860,0.9030467460555803,1.0240788273447627,1.9762899362862927,-0.26350665922737027,-1.3652138324188343,13.87593140743458,94.90702356982116,High,VERIFIED
CEI-IN-57328F767D88,Fr. Agnel College of Arts & Commerce  Pilar,College,Goa,North Goa,,C-30863,0.6348150393063982,0.21502817532734758,0.6564451223280451,-0.04161887324406396,-0.9739203556130975,7.6339405258823865,78.49697974653559,Competitive,VERIFIED
CEI-IN-A9D551C95894,Zantye Brothers Educational Foundations Narayan Zantye College of Commerce  Bicholim,College,Goa,North Goa,,C-30873,0.47387601525688877,-0.18817061284135067,-0.8056133538618242,-0.7066654087207735,-1.0547618650377746,0.9994416523486501,34.18808480397963,Moderate,VERIFIED
CEI-IN-A550ABEEA56C,"S.S.B.N. Degree College (Auonomous), Anantapur",College,Andhra Pradesh,Ananthapuramu,,C-30921,1.1712784528047628,-0.3663071161613916,-0.3270755850825538,0.11746610576651893,-0.5613093186336539,5.777120323123845,68.37814362983143,Competitive,VERIFIED
CEI-IN-14E05F9DFAF8,"K.T.S. Government Degree College, Rayadurg",College,Andhra Pradesh,Ananthapuramu,,C-30933,1.1712784528047628,-0.06239338952258766,-0.2591182554148075,-1.1375929935116862,0.6866369561731936,6.06838915622691,70.26530853961862,Competitive,VERIFIED
CEI-IN-3A431E2A46F7,"S.D.R.R. Degree College, Mudigubba",College,Andhra Pradesh,Ananthapuramu,,C-30993,0.47387601525688877,-0.10299696044493667,0.3359427599270395,0.8023790344375247,-1.5882829752024488,5.961457234548559,69.59216708121126,Competitive,VERIFIED
CEI-IN-96CB729369D0,"S.D.G.S. Degree College (Aided), Hindupur",College,Andhra Pradesh,Ananthapuramu,,C-30996,2.0296199144021463,0.32818267769775533,1.5272603185677254,0.4456605434706114,-0.4861225632096249,16.3526049946973,96.96000631687,High,VERIFIED
CEI-IN-83EAC0A1546B,"Rayat Bahra College of Education, Hoshiarpur",College,Punjab,Hoshiarpur,,C-31036,-0.27717276364082155,0.04487595303346848,-0.1386311078560715,0.32416487944385175,-1.5215223395156114,1.8022513584395254,39.93446247384421,Moderate,VERIFIED
CEI-IN-792721C9C7D8,"MTSM College for Women, Ludhiana",College,Punjab,Ludhiana,,C-31045,1.8686808903526368,0.7286815792787492,1.4693802190387784,0.8653181881998023,0.06298485849516966,17.73673849555974,97.66473212523195,High,VERIFIED
