id,stableKey,name,state,city,aisheCode,website_present,courses_present,fees_present,fees_verified,rankings_present,placements_present,seats_present,cutoffs_present,source_metadata_present,truth_grade,frontend_fee_visible,frontend_placement_visible,frontend_ranking_visible,num_courses,num_rankings,num_placement_fields,num_fee_fields,num_cutoffs,num_seats
"C-10901","C-10901","Patteswar Degee College, Suakati","Odisha","","C-10901","","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10902","C-10902","Mahila Mahavidyalaya, Rairangpur","Odisha","","C-10902","","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10903","C-10903","Udala College, Udala","Odisha","","C-10903","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10904","C-10904","Baripada College, Baaripada","Odisha","","C-10904","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-29617","C-29617","Degree College, Supaul","Bihar","","C-29617","","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10905","C-10905","I.G Mahila M.V, Udala","Odisha","","C-10905","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10906","C-10906","Kusaleswar A.MV, Rekutia","Odisha","","C-10906","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10908","C-10908","S.M.D College, Manida","Odisha","","C-10908","","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10909","C-10909","L.K College, Bangriposi","Odisha","","C-10909","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10910","C-10910","R.D.S Mahavidyalaya, Kundabai","Odisha","","C-10910","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10911","C-10911","Raghunath M.V, Kadadiha","Odisha","","C-10911","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10912","C-10912","Jashipur College, Jashipur","Odisha","","C-10912","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10913","C-10913","Patita Paban M.V. Sainkul","Odisha","","C-10913","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10914","C-10914","Kaptipada Degree College, Nuasahi","Odisha","","C-10914","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
