cei_id,institution_name,category,state,district,university_affiliation,source_year,verification_status,aishe_code,naac_grade,established_year
CEI-IN-E9303A985592,"Abhinav Education Society College of Engineering  & Technology, Vaddwadi,",College,Maharashtra,Satara,,2020-21,VERIFIED,C-11223,,2009
CEI-IN-324951CA8082,Directorate of Forensic Science (DFS),College,Gujarat,Gandhinagar,,2020-21,VERIFIED,C-13,,-
CEI-IN-4456D7898186,"BHM First Grade College, Besagarahalli",College,Karnataka,Mandya,,2020-21,VERIFIED,C-17436,,1992
CEI-IN-25198B9DEAD3,"Navjeevan College of Computer Science, CIDCO, Shivshakti Chowk, Nashik 422009",College,Maharashtra,Nashik,,2020-21,VERIFIED,C-41560,,-
CEI-IN-16B0BF32D57A,"KALPANA MAHAVIDYALAYA, VIJAIPUR",College,Uttar Pradesh,Fatehpur,,2020-21,VERIFIED,C-48921,,2013
CEI-IN-F6CDD453A09A,"Champa Devi Mahila Mahavidyalay, Jaunpur",College,Uttar Pradesh,Jaunpur,,2020-21,VERIFIED,C-52410,,2015
CEI-IN-D90F8D6EF12E,"BABA BIHARILAL EDUCATIONAL INSTITUTE, AMADARVESHPUR",College,Uttar Pradesh,Ambedkar Nagar,,2020-21,VERIFIED,C-52827,,-
CEI-IN-36D6CE76735A,THAKUR SHIVKUMARSINGH MEMORIAL POLYTECHNIC COLLEGE BURHANPUR,College,Madhya Pradesh,Burhanpur,,2020-21,VERIFIED,C-53504,,2015
CEI-IN-4424A4E8DE75,AZAD D.ED. TRAINING COLLEGE,College,West Bengal,Dakshin Dinajpur,,2020-21,VERIFIED,C-58398,,2016
CEI-IN-9AD113FC2AAE,JAJBA TEACHER TRAINING COLLEGE,College,Bihar,Gaya,,2020-21,VERIFIED,C-59170,,2016
CEI-IN-DCA9308DF978,JCRE Global College,College,Manipur,Imphal West,,2020-21,VERIFIED,C-61603,,2019
CEI-IN-62DC67DC37F1,Awasthi Law College,College,Himachal Pradesh,Solan,,2020-21,VERIFIED,C-63863,,2019
CEI-IN-3C96791C3AC5,CRYSTAL INSTITUTE OF FIRE SAFETY,College,Gujarat,Mahisagar,,2020-21,VERIFIED,C-66234,,2021
CEI-IN-AA7CA9DB928B,"GOVERNMENT BED COLLEGE, MEGHRAJ",College,Gujarat,Arvalli,,2020-21,VERIFIED,C-6695,,2004
CEI-IN-800E69921414,SHREE UMA GIRLS COLLEGE,College,Gujarat,Surendranagar,,2020-21,VERIFIED,C-68223,,2022
CEI-IN-AF561AD9C6B5,"JPE TRAINING COLLEGE, KOORKANCHERY",College,Kerala,Thrissur,,2020-21,VERIFIED,C-8223,,1995
CEI-IN-AD5403C0ECA4,North Lakhimpur College (Autonomous),College,Assam,Lakhimpur,,2020-21,VERIFIED,C-8490,,1952
CEI-IN-9181AEE4CB75,"S P M S EDUCATION COLLEGE, HARUGERI",College,Karnataka,Belagavi,,2020-21,VERIFIED,C-10026,,2007
CEI-IN-53AA2E7C68E6,"P T E SOCIETY'S BCA/BBA  COLLEGE,  BELGAUM",College,Karnataka,Belagavi,,2020-21,VERIFIED,C-10034,,2008
CEI-IN-3D4563120BE1,"Vishwabharati First Grade COLLEGE, TURNUR-591123",College,Karnataka,Belagavi,,2020-21,VERIFIED,C-10039,,1992
CEI-IN-88F37811E6C4,"M E S'S BACHELOR OF PHYSICAL EDUCATION, MUDALGI",College,Karnataka,Belagavi,,2020-21,VERIFIED,C-10042,,2010
CEI-IN-D8C3DFD13419,"B.D.P.H.W. Association Mathoshri Ambavva Khed Arts,Commerce & Science  College Bijapur.",College,Karnataka,Vijayapura,,2020-21,VERIFIED,C-10068,,1990
CEI-IN-9AC21D77A1A7,"MUNI. ARTS & COMMERCE COLLEGE, UPLETA",College,Gujarat,Rajkot,,2020-21,VERIFIED,C-1010,,1961
CEI-IN-656BAE1B519B,"Govt. First Grade College, Magadi-562102",College,Karnataka,Bengaluru South,,2020-21,VERIFIED,C-20759,,1984
CEI-IN-8980CE5659C4,"Govt. First Grade College, Bangarpet-563114, Kolar Dist.",College,Karnataka,Kolar,,2020-21,VERIFIED,C-20816,,1985
CEI-IN-3C022CDA8A6A,"Om Insti. Of Eng.& Technology, Junagadh 665",College,Gujarat,Junagadh,,2020-21,VERIFIED,C-210,,2009
CEI-IN-3A8AEED2EA8B,Shri Baba Mast Nath Institute of Management Studies and Research,College,Haryana,Rohtak,,2020-21,VERIFIED,C-28324,,-
CEI-IN-A4E8494C1370,"R.K. COLLEGE, GARH ROAD, KITHORE, MEERUT",College,Uttar Pradesh,Meerut,,2020-21,VERIFIED,C-28947,,2011
CEI-IN-45DFDF8A2B6E,Jawaharlal Nehru Medical College,College,Maharashtra,Wardha,,2020-21,VERIFIED,C-35088,,-
CEI-IN-C6F66ABA3D32,Dr. M.G.R. Engineering and College,College,Tamil Nadu,Thiruvallur,,2020-21,VERIFIED,C-36462,,-
CEI-IN-BF0218761E8E,Malda College,College,West Bengal,Malda,,2020-21,VERIFIED,C-42700,,1944
CEI-IN-1AA0C65A5118,"IDEAL SCHOOL OF ARCHITECTURE, GHAZIABAD",College,Uttar Pradesh,Ghaziabad,,2020-21,VERIFIED,C-46150,,-
CEI-IN-184E9AA54FE3,"FACULTY OF MANAGEMENT AND TECHNOLOGY, VARANASI",College,Uttar Pradesh,Varanasi,,2020-21,VERIFIED,C-47031,,2002
CEI-IN-E42E9A7AD485,"Shekhawati M.Ed. College, Dundlod",College,Rajasthan,Jhunjhunu,,2020-21,VERIFIED,C-52179,,2008
CEI-IN-771F76EB1F61,Murti Devi P.G. College,College,Rajasthan,Alwar,,2020-21,VERIFIED,C-55233,,2007
CEI-IN-4555808940D3,NEW ERA COLLEGE,College,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,C-60476,,2018
CEI-IN-7D0E2DD7988B,"GOVINDAM T.T. COLLEGE,Palwas Road ,Sikar",College,Rajasthan,Sikar,,2020-21,VERIFIED,C-60805,,2017
CEI-IN-C615FB1EB384,DSSOP PHARMACY COLLEGE,College,Uttar Pradesh,Siddharthnagar,,2020-21,VERIFIED,C-61564,,2019
CEI-IN-56481E66AAB4,B585 SUNRISE DEGREE COLLEGE BIDAR,College,Karnataka,Bidar,,2020-21,VERIFIED,C-61756,,2019
CEI-IN-677F635DDB5F,GAUTAM BUDDH MAHAVIDYALAYA,College,Uttar Pradesh,Bareilly,,2020-21,VERIFIED,C-65391,,2021
CEI-IN-86D6674C812C,GOVERNMENT SCHOOL OF NURSING J.A. HOSPITAL GWALIOR,College,Madhya Pradesh,Gwalior,,2020-21,VERIFIED,C-67104,,1954
CEI-IN-A7BB67211269,"SBK COLLEGE OF NURSING,MUDDEBHIHAL",College,Karnataka,Vijayapura,,2020-21,VERIFIED,C-68732,,-
CEI-IN-5010AD22E37C,"230035-PSGVPS'S INSTITUTE OF MANAGEMENT, SHAHADA.",College,Maharashtra,Nandurbar,,2020-21,VERIFIED,C-8939,,-
CEI-IN-539429D45BB4,A.V.HIRANI  COLLEGE OF JOURNALISM & PERFORMING ARTS-RAJKOT,College,Gujarat,Rajkot,,2020-21,VERIFIED,C-1001,,1992
CEI-IN-34EE4C8E44DC,"SMVSS SANGABASAVESHWARS DEGREE COLLEGE,  MASUTI KUDAGI",College,Karnataka,Vijayapura,,2020-21,VERIFIED,C-10012,,2007
CEI-IN-69FAEA5DA773,"KUMUD BEN DURBAR COLLEGE OF BCA,  BIJAPUR",College,Karnataka,Vijayapura,,2020-21,VERIFIED,C-10024,,2007
CEI-IN-70E1B804D6E8,"L.K.KHOT ARTS COLLEGE, HEBBAL",College,Karnataka,Belagavi,,2020-21,VERIFIED,C-10033,,1992
CEI-IN-267545ED0FB7,"SHRI K M MAMANI GOVT. FIRST GRADE,  SAVADATTI",College,Karnataka,Belagavi,,2020-21,VERIFIED,C-10076,,2007
CEI-IN-4BD0585E7111,"ANJUMAN - E - ISLAM'S ARTS & COMMERCE COLLEGE,  BELGAUM",College,Karnataka,Belagavi,,2020-21,VERIFIED,C-10098,,1983
CEI-IN-F1E3F509E05F,"RAMAKRISHNA VIVEKANANDA BCA COLLEGE,  TIDAGUNDI",College,Karnataka,Vijayapura,,2020-21,VERIFIED,C-10100,,2009
CEI-IN-1A821FA9509A,"ANNAPOORNA INSTITUTE OF MANAGEMENT RESEARCH, SANKESHWAR (PG)",College,Karnataka,Belagavi,,2020-21,VERIFIED,C-10131,,2009
CEI-IN-E59E13DFECBF,"S R KANTHI COLLEGE OF EDUCATION,  ILKAL",College,Karnataka,Bagalkote,,2020-21,VERIFIED,C-10132,,1986
CEI-IN-8808F129F22B,Rani Birla Girls' College,College,West Bengal,Kolkata,,2020-21,VERIFIED,C-11928,,1961
CEI-IN-6CB861C7F971,"S C T Institute of Technology, BANGALORE",College,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,C-1375,,2001
CEI-IN-FC6FC5195306,"Ramrati Rampyare Sanskrit Mahavidyalaya, Brahmapura, Chouri Choura",College,Uttar Pradesh,Gorakhpur,,2020-21,VERIFIED,C-20532,,2008
CEI-IN-7148D6E9AE22,"VIKAS DEGREE COLLEGE, RATHNAPUR (V), KAMANPUR",College,Telangana,Karimnagar,,2020-21,VERIFIED,C-21574,,2008
CEI-IN-5EAB4F45C089,Institute of Seismological Research,College,Gujarat,Ahmedabad,,2020-21,VERIFIED,C-25986,,-
CEI-IN-F7E4DE0FC807,Azad Degree College,College,Telangana,Hyderabad,,2020-21,VERIFIED,C-26165,,2000
CEI-IN-83DCF3C6FF5E,S.D. College Muzaffarnagar Mob.No.9412711425. 9897550514,College,Uttar Pradesh,Muzaffarnagar,,2020-21,VERIFIED,C-28665,,1949
CEI-IN-383676D170FE,"SUNRISE INSTITUE OF EDUCATION & TECH K. K. ROAD, NEAR DADRI (G.B. NAGAR)",College,Uttar Pradesh,Gautam Buddha Nagar,,2020-21,VERIFIED,C-28847,,-
CEI-IN-66CE0AE042D1,Rani Durgawati College of Horticulture,College,Chhattisgarh,Bilaspur,,2020-21,VERIFIED,C-33300,,2002
CEI-IN-25AEF6359832,Indira gandhi institute of development research,College,Maharashtra,Mumbai Suburban,,2020-21,VERIFIED,C-33514,,-
CEI-IN-4C5534474770,Master Education Society College of Arts  Science and Commerce  Nalasopara  Taluka Vasai Dist  Thane,College,Maharashtra,Thane,,2020-21,VERIFIED,C-34150,,-
CEI-IN-F0E2C907E3D3,"Aditya Institute of Management & Research Centre, Telegaon Road.",College,Maharashtra,Beed,,2020-21,VERIFIED,C-34550,,-
CEI-IN-1D6935077307,Karuna Shikshan Prashikshan Mahavidhyalaya,College,Rajasthan,Hanumangarh,,2020-21,VERIFIED,C-36901,,2006
CEI-IN-C0DA2F183A59,"Vinayak College, Dausa",College,Rajasthan,Dausa,,2020-21,VERIFIED,C-38373,,2006
CEI-IN-0CB03E63B8D4,"BHAGWAT DUTT MAHAVIDYALAYA, AJHARA, PRATAPGARH",College,Uttar Pradesh,Pratapgarh,,2020-21,VERIFIED,C-42389,,2007
CEI-IN-43E3E193D682,"CHAUDHARY HARNAM SINGH MAHAVIDYALAYA, BHUTA",College,Uttar Pradesh,Bareilly,,2020-21,VERIFIED,C-45136,,2009
CEI-IN-D370A4A84DF1,College of Dairy Science & Technology,College,Punjab,Ludhiana,,2020-21,VERIFIED,C-453,,-
CEI-IN-2572D56FBE08,"M N COLLEGE OF NURSING, BIKANER",College,Rajasthan,Bikaner,,2020-21,VERIFIED,C-47071,,2008
CEI-IN-D24B04197B93,ORENTAL B ED COLLEGE,College,Madhya Pradesh,Balaghat,,2020-21,VERIFIED,C-47350,,2008
CEI-IN-C1C931554B3C,"Thapasvi Degree College, Kubeer (V&M)",College,Telangana,Adilabad,,2020-21,VERIFIED,C-52568,,2014
CEI-IN-870EC58F7BD9,"HEADWAY COLLEGE OF EDUCATION AND TECHNOLOGY, LAWAR",College,Uttar Pradesh,Meerut,,2020-21,VERIFIED,C-53208,,-
CEI-IN-48B7BD52A1FA,SIDDARTHA DEGREE COLLEGE,College,Telangana,Karimnagar,,2020-21,VERIFIED,C-54792,,2014
CEI-IN-587407F6895B,PRO. DEENANATH PANDEY MAHAVIDYALAYA,College,Uttar Pradesh,Banda,,2020-21,VERIFIED,C-56300,,2016
CEI-IN-E53AD607F556,"GOVT. NAVEEN COLLEGE, THELKADIH",College,Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,,2020-21,VERIFIED,C-60992,,2018
CEI-IN-CE289FC5B35E,B S BEd COLLEGE,College,Uttar Pradesh,Moradabad,,2020-21,VERIFIED,C-62019,,2016
CEI-IN-790B047C40A7,SS COLLEGE OF PHARMACY,College,Uttar Pradesh,Mainpuri,,2020-21,VERIFIED,C-64977,,-
CEI-IN-C1E2832727E6,B.L. PARAMEDICAL COLLEGE,College,Madhya Pradesh,Alirajpur,,2020-21,VERIFIED,C-66775,,2019
CEI-IN-613DC16E67CD,LEELA DEVI COLLEGE OF PHARMACY,College,Chhattisgarh,Durg,,2020-21,VERIFIED,C-70758,,-
CEI-IN-8F7888601C49,GOVERNMENT LAW COLLEGE DHAR,College,Madhya Pradesh,Dhar,,2020-21,VERIFIED,C-71287,,-
CEI-IN-7965017A22A3,"KLE SOCIETYS COMMERCE COLLEGE,  RAIBAG",College,Karnataka,Belagavi,,2020-21,VERIFIED,C-10066,,2012
CEI-IN-0FA2B677C2BC,"K.R.C.E.S's S.B.Harkuni BBA College, Bailhongal",College,Karnataka,Belagavi,,2020-21,VERIFIED,C-10081,,1997
CEI-IN-DD16A62CD978,RATHINAM SCHOOL OF BUSINESS AT TIPS GLOBAL (FORMERLY TIPS SCHOOL OF MANAGEMENT),College,Tamil Nadu,Coimbatore,,2020-21,VERIFIED,C-61961,,2018
CEI-IN-7EBA188E2737,"Laxmi Narayan Degree College, Pipilia",College,Odisha,Keonjhar,,2020-21,VERIFIED,C-10907,,2000
CEI-IN-914D9BB88F24,"Warana Mahavidyalaya, AITAWADE",College,Maharashtra,Sangli,,2020-21,VERIFIED,C-11154,,2000
CEI-IN-79C9D2CB1780,"DAYANAND BACHHRAWAN DEGREE COLLEGE,",College,Uttar Pradesh,Rae Bareli,,2020-21,VERIFIED,C-12154,,1981
CEI-IN-4462AB2E206A,"SRI YAGYA NARAYAN PANDEY DEGREE COLLEGE, LALAPUR,",College,Uttar Pradesh,Prayagraj,,2020-21,VERIFIED,C-12565,,2008
CEI-IN-93BC3E864C4A,"ADB First Grade College, Harpanahalli",College,Karnataka,Davanagere,,2020-21,VERIFIED,C-17737,,1972
CEI-IN-856E1B798BA1,Durga Mahavidyalaya,College,Chhattisgarh,Raipur,,2020-21,VERIFIED,C-21825,,1951
CEI-IN-FCB2A9383D42,Lakshmi  Bai College,College,Delhi,North West,,2020-21,VERIFIED,C-22466,,1965
CEI-IN-9ADC74488EE9,Acharya Shri Nanesh Samta Mahavidyalaya,College,Rajasthan,Chittorgarh,,2020-21,VERIFIED,C-25206,,2005
CEI-IN-70AA33952D19,"Gowthami Degree College, Laxmidevipally, Kothagudem",College,Telangana,Khammam,,2020-21,VERIFIED,C-27352,,2002
CEI-IN-4C2EF13A17BD,"Sri Ram College, Dalla",College,Punjab,Ludhiana,,2020-21,VERIFIED,C-29276,,2003
CEI-IN-731A49C463AB,"A.N.K. Degree College, Gorantla",College,Andhra Pradesh,Ananthapuramu,,2020-21,VERIFIED,C-30924,,2010
CEI-IN-601201D9A985,Kishinchand Chellaram College Dinshaw Wachha Road  Churchgate Mumbai  400 020,College,Maharashtra,Mumbai,,2020-21,VERIFIED,C-33753,,1954
CEI-IN-DB862370C0AF,Maulana Azad Education Society's Horniman College of Journalism & Mass Communication,College,Maharashtra,Chhatrapati Sambhajinagar,,2020-21,VERIFIED,C-34346,,-
CEI-IN-6C75BAF84B92,Jagannath Degree College,College,Odisha,Kalahandi,,2020-21,VERIFIED,C-40954,,1996
CEI-IN-EFF5ECCD6B4B,"P.G.K.M.S. Institute of Management,Pune 411011",College,Maharashtra,Pune,,2020-21,VERIFIED,C-41425,,-
CEI-IN-461B7222CA1B,"Bhagwati Institute of Hotel Management Shukrawar Peth, Pune",College,Maharashtra,Pune,,2020-21,VERIFIED,C-42153,,-
CEI-IN-9B93EA1A368C,Faculty of Performing Arts,College,Gujarat,Vadodara,,2020-21,VERIFIED,C-55953,,-
CEI-IN-AF8A83473F10,B.R. EDUCATION SAMITI,College,Uttarakhand,Haridwar,,2020-21,VERIFIED,C-58990,,2017
CEI-IN-95CFBA516AF9,sri ram degree college,College,Uttar Pradesh,Sonbhadra,,2020-21,VERIFIED,C-59124,,2016
CEI-IN-65DF4A45122E,Dr. Radhakrishanan Integrated College,College,Rajasthan,Nagaur,,2020-21,VERIFIED,C-60944,,2017
CEI-IN-134DB9BC4D6C,KKECS COLLEGE OF NURSING,College,Karnataka,Bengaluru Rural,,2020-21,VERIFIED,C-62160,,2003
CEI-IN-75C4BBA489C6,AACHARYA FIRST GRADE COLLEGE,College,Karnataka,Hassan,,2020-21,VERIFIED,C-65866,,-
CEI-IN-D7BEC990C5F2,"Veerashaiva College, Bellary",College,Karnataka,Ballari,,2020-21,VERIFIED,C-8575,,1945
CEI-IN-505CEC8E632F,M.G.R College,College,Tamil Nadu,Krishnagiri,,2020-21,VERIFIED,C-9539,,1988
CEI-IN-5583BE21A949,KALYANAM KAROTI,College,Uttar Pradesh,Mathura,,2020-21,VERIFIED,C-72756,,-
CEI-IN-4DD81B222C75,"SHRI HIRABAI BHARAMA ANNAPPA CHOUGULE ARTS/SCI  COLLEGE,  RAIBAG",College,Karnataka,Belagavi,,2020-21,VERIFIED,C-10050,,2011
CEI-IN-073B995B6F3E,"KLE SOCIETYS COLLEGE OF EDUCATION, NIPPANI",College,Karnataka,Belagavi,,2020-21,VERIFIED,C-10085,,2004
CEI-IN-2EB5219DE4D7,"School of Management, RK University, Rajkot",College,Gujarat,Rajkot,,2020-21,VERIFIED,C-101,,2005
CEI-IN-0381F2606314,"KJSS'S SHRI ADAVI SIDDESHWARA ARTS COLLEGE,  ANKALGI",College,Karnataka,Belagavi,,2020-21,VERIFIED,C-10126,,1992
CEI-IN-2D8C0BBC8C0F,"K.L.S.College,",College,Bihar,Nawada,,2020-21,VERIFIED,C-12924,,1955
CEI-IN-636F896309E3,Kamala College of Education,College,Tamil Nadu,Viluppuram,,2020-21,VERIFIED,C-14929,,2006
CEI-IN-4E362A384737,Madhab Choudhury College,College,Assam,Barpeta,,2020-21,VERIFIED,C-17145,,1939
CEI-IN-B09144A03B15,Progati College,College,Assam,Dhubri,,2020-21,VERIFIED,C-17254,,1991
CEI-IN-2B4F817F1759,"Adarsh Sanskar Vidyalaya, Hasanbagh Road",College,Maharashtra,Nagpur,,2020-21,VERIFIED,C-18830,,-
CEI-IN-2199A32B4F1C,"Shri Parashuram Sanskrit Mahavidyalaya, Jalalabad",College,Uttar Pradesh,Shahjahanpur,,2020-21,VERIFIED,C-20581,,1957
CEI-IN-4AA7AA4BF41B,Maharajahs PG College,College,Andhra Pradesh,Vizianagaram,,2020-21,VERIFIED,C-24057,,1987
CEI-IN-DF8DFE69157E,Quba College of Engineering & Technology,College,Andhra Pradesh,Sri Potti Sriramulu Nellore,,2020-21,VERIFIED,C-26931,,2002
CEI-IN-55BA7A8EB09D,"Gayatri Degree College, Tirupati   Urban",College,Andhra Pradesh,Chittoor,,2020-21,VERIFIED,C-27737,,2001
CEI-IN-1638E2B4F924,"PMT Memorial college, Kamuthi",College,Tamil Nadu,Ramanathapuram,,2020-21,VERIFIED,C-28530,,1970
CEI-IN-AEBD15FBD6CA,"Govt. Dental College, Amritsar",College,Punjab,Amritsar,,2020-21,VERIFIED,C-29159,,1952
CEI-IN-429CEEFF885A,"Pitambara sangeet evam kala Mahavidhyalaya, gwl",College,Madhya Pradesh,Gwalior,,2020-21,VERIFIED,C-29557,,-
CEI-IN-17409C110B3A,"Agricultural Research Station, Radhanpur",College,Gujarat,Patan,,2020-21,VERIFIED,C-34229,,-
CEI-IN-149FBAC4143D,"Advait Mahila Mahavidyalaya, Dausa",College,Rajasthan,Dausa,,2020-21,VERIFIED,C-38501,,2008
CEI-IN-1690BC935748,"Govt. College of Physical, Jodhpur",College,Rajasthan,Jodhpur,,2020-21,VERIFIED,C-39057,,-
CEI-IN-3F38251EA2D2,"JAI MAA SUDAMI DEVI BALIKA MAHAVIDYALAYA, KHANPUR, GHAZIPUR",College,Uttar Pradesh,Ghazipur,,2020-21,VERIFIED,C-72754,,-
CEI-IN-F455F448A586,Radhamadhab Sanskrit College,College,Odisha,Khordha,,2020-21,VERIFIED,C-44085,,1994
CEI-IN-A7DD7DDADE63,"MB MORE FOUNDATION OF ARTS COMMERCE SCIENCE WOMEN COLLEGE, RAIGAD",College,Maharashtra,Raigad,,2020-21,VERIFIED,C-45212,,2012
CEI-IN-A2D97C69B162,"PRADNYA PRATISHTHANS PRADNYA SCHOOL OF BUSINESS MANAGEMENT, PUNE",College,Maharashtra,Pune,,2020-21,VERIFIED,C-45890,,-
CEI-IN-28B53D81CEE3,Sri Sai Shikshan Sansthan,College,Uttarakhand,Udham Singh Nagar,,2020-21,VERIFIED,C-52326,,2011
CEI-IN-6ED0696D8481,Mangal Sanskrit Mahavidyalaya,College,Uttar Pradesh,Siddharthnagar,,2020-21,VERIFIED,C-53058,,1921
CEI-IN-2443E1F622A4,SCPM COLLEGE OF PHARMACY,College,Uttar Pradesh,Gonda,,2020-21,VERIFIED,C-62978,,-
CEI-IN-7A75330CB6C5,Bharati College,College,Delhi,West,,2020-21,VERIFIED,C-6399,,1971
CEI-IN-8AE5A8DFACC0,"Ganga Singh College, Chapra",College,Bihar,Saran,,2020-21,VERIFIED,C-6458,,1964
CEI-IN-BB1F7A276347,INTERNATIONAL BUSINESS COLLEGE PATNA,College,Bihar,Patna,,2020-21,VERIFIED,C-68519,,-
CEI-IN-46F0BD3FC22D,CONSTITUENT GOVERNMENT COLLEGE HASANPUR AMROHA,College,Uttar Pradesh,Amroha,,2020-21,VERIFIED,C-69767,,-
CEI-IN-0839E562765B,GOBINDA BASUMATARY COLLEGE JARAGURI,College,Assam,Kokrajhar,,2020-21,VERIFIED,C-72558,,-
CEI-IN-DF97974F0C10,"SN COLLEGE, VATAKARA",College,Kerala,Kozhikode,,2020-21,VERIFIED,C-8057,,2003
CEI-IN-E67693164617,"GRAMEENA V V SS EDU COLLEGE, NODAGUNDI",College,Karnataka,Vijayapura,,2020-21,VERIFIED,C-10014,,2007
CEI-IN-F99825CFBB26,"JES'S S K A LOKAPUR ARTS/ SCIE / COMM COLLEGE,  ATHANI",College,Karnataka,Belagavi,,2020-21,VERIFIED,C-10035,,2004
CEI-IN-A9D1CC00263C,"C L E SOCIETYS COLLEGE OF EDUCATION, CHIKKODI",College,Karnataka,Belagavi,,2020-21,VERIFIED,C-10052,,2004
CEI-IN-F5163A36C024,"THE ADARSH EDU., SOCIETY'S ADARSH ARTS/COMM COLLEGE,SAVADATTI",College,Karnataka,Belagavi,,2020-21,VERIFIED,C-10070,,2008
CEI-IN-1F48E7A012A2,"KLE'S BAAVPRBHU KORE BBA COLLEGE,  CHIKKODI",College,Karnataka,Belagavi,,2020-21,VERIFIED,C-10071,,2007
CEI-IN-A628EDBC7D1B,"ACHARY DESHBHSHANE COLLEGE OF EDUCATION, BEDIHAL",College,Karnataka,Belagavi,,2020-21,VERIFIED,C-10106,,2005
CEI-IN-7E46895F7B57,"Devi Sharan Degree College, Parsauna (Kolhui), Maharajganj",College,Uttar Pradesh,Mahrajganj,,2020-21,VERIFIED,C-14249,,-
CEI-IN-0E8E42C3BD4C,C.S.M. College of Education,College,Tamil Nadu,Cuddalore,,2020-21,VERIFIED,C-14415,,2009
CEI-IN-43FE2A12E847,"K. Ramesh Thavad Physical Education College, Rajiv Nagar",College,Maharashtra,Nagpur,,2020-21,VERIFIED,C-18563,,-
CEI-IN-0BB691EBA76B,"B.M. College, Koliha Pur, Pulgaon, Durg",College,Chhattisgarh,Durg,,2020-21,VERIFIED,C-21677,,2010
CEI-IN-988AAC87E420,Pt. Lalit Mohan Sharma Government Post Graduate College Rishikesh,College,Uttarakhand,Dehradun,,2020-21,VERIFIED,C-24679,,1973
CEI-IN-C86901601490,Maharshi Womens TT College,College,Rajasthan,Rajsamand,,2020-21,VERIFIED,C-26601,,2008
CEI-IN-71B6DBFF1597,"JN Kalavidyalaya, Gadag",College,Karnataka,Gadag,,2020-21,VERIFIED,C-26707,,1980
CEI-IN-037DA55414A8,"M.G. Memorial College, Jetsar",College,Rajasthan,Ganganagar,,2020-21,VERIFIED,C-40738,,2004
CEI-IN-24940B7658B3,"Bansilal Ramnath Agarwal Charitable Trusts Vishwakarama Institute of Technology, Apper Indiranagar, Pune  411037",College,Maharashtra,Pune,,2020-21,VERIFIED,C-41351,,1983
CEI-IN-FA47370A712A,"Centre for Rheumatic Diseases, Camp,Pune 411001",College,Maharashtra,Pune,,2020-21,VERIFIED,C-41732,,-
CEI-IN-D45F1A1CE62A,"M E S S IDEAL INSTITUTE OF MANAGEMENT AND COMPUTER APPLICATION TECHNICAL CAMPUS, PUNE",College,Maharashtra,Pune,,2020-21,VERIFIED,C-46649,,-
CEI-IN-9CFECC299C35,"SRAJAN INSTITUTE OF MANAGEMENT AND TECHNOLOGY, BAREILLY",College,Uttar Pradesh,Bareilly,,2020-21,VERIFIED,C-46730,,2009
CEI-IN-10BC67774DB3,"SURYA COLLEGE OF PHARMACY , LUCKNOW",College,Uttar Pradesh,Lucknow,,2020-21,VERIFIED,C-46946,,-
CEI-IN-6810A4848A33,SEVA VARATI B ED COLLEGE,College,West Bengal,Murshidabad,,2020-21,VERIFIED,C-48713,,2012
CEI-IN-5F4E408347C6,BAUHRE HARI SINGH COLLEGE,College,Uttar Pradesh,Aligarh,,2020-21,VERIFIED,C-51259,,2014
CEI-IN-CC5747B44C3F,baihar institute of computer education,College,Madhya Pradesh,Balaghat,,2020-21,VERIFIED,C-53687,,2011
CEI-IN-1D438BF573FA,CH. SOBRAN SINGH MAHAVIDHYALAYA,College,Uttar Pradesh,Mainpuri,,2020-21,VERIFIED,C-57553,,2015
CEI-IN-8D0E6AFCB722,NAMO INSTITUTE OF COMPUTER TECHNOLOGY,College,Madhya Pradesh,Sidhi,,2020-21,VERIFIED,C-59254,,-
CEI-IN-E04F66CACC83,Baba Ramcheej Mahila Mahavidyalaya,College,Uttar Pradesh,Ghazipur,,2020-21,VERIFIED,C-62345,,2017
CEI-IN-8B0A846F8E8A,PHULO JHANO MEDICAL COLLEGE,College,Jharkhand,Dumka,,2020-21,VERIFIED,C-64387,,2019
CEI-IN-43BCE7118B91,RAJKIYA MAHAVIDYALAY PAHI CHITRAKOOT,College,Uttar Pradesh,Chitrakoot,,2020-21,VERIFIED,C-67986,,-
CEI-IN-FB0B95BC3265,NAWJAN INSTITUTE OF NURSING,College,West Bengal,North 24 Parganas,,2020-21,VERIFIED,C-71016,,-
CEI-IN-D041EFE09E99,MURLI MEMORIAL COLLEGE OF PHARMACY,College,Rajasthan,Sikar,,2020-21,VERIFIED,C-71990,,-
CEI-IN-65BDDBBFC352,RAMYASH LAW COLLEGE,College,Uttar Pradesh,Prayagraj,,2020-21,VERIFIED,C-72763,,-
CEI-IN-21F5F9C877A9,"BLDE Association's New Arts College, Tikota",College,Karnataka,Vijayapura,,2020-21,VERIFIED,C-10016,,1969
CEI-IN-7DB779DA1D25,"KLE'S G I BAGEWADI BBA COLLEGE,  NIPPANI",College,Karnataka,Belagavi,,2020-21,VERIFIED,C-10017,,2008
CEI-IN-A13180834748,"Maratha Mandal's Arts, Commerce, Science, and Home Science College, Belgaum",College,Karnataka,Belagavi,,2020-21,VERIFIED,C-10040,,1985
