cei_id,institution_name,category,state,district,university_affiliation,source_year,verification_status,aishe_code,naac_grade,established_year
CEI-IN-232ECB952236,DISTRICT HOSPITAL VIJAYAPURA,Standalone,Karnataka,Vijayapura,,2020-21,VERIFIED,S-18804,,2016
CEI-IN-313C3A2B9862,SUSHRUTHA SCHOOL OF NURSING SHAHPUR,Standalone,Karnataka,Yadgir,,2020-21,VERIFIED,S-18777,,-
CEI-IN-13B129AC0AD8,RAJEEV GANDHI PARAMEDICAL COLLEGE DAVANGERE,Standalone,Karnataka,Davanagere,,2020-21,VERIFIED,S-18709,,-
CEI-IN-9F8B59C8D3CC,BANGALORE CITY SCHOOL OF NURSING I I T CAMPUS HULLIMOVA BANGALORE,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-3952,,2002
CEI-IN-637EDAC0F4C0,SHRI LAXMANRAO JARKIHOLI POLYTECHNIC GOKAK,Standalone,Karnataka,Belagavi,,2020-21,VERIFIED,S-18637,,1994
CEI-IN-DD4875E288B4,SRI MAHANTESH PATIL SCHOOL OF NURSING MALLABAD,Standalone,Karnataka,Kalaburagi,,2020-21,VERIFIED,S-18622,,-
CEI-IN-3773549792BD,NEELGANGA SCHOOL OF NURSING,Standalone,Karnataka,Bidar,,2020-21,VERIFIED,S-18618,,2019
CEI-IN-193C3379B398,SRI VIMALESHWARA PARA MEDICAL COLLEGE DAVANGERE,Standalone,Karnataka,Davanagere,,2020-21,VERIFIED,S-18601,,-
CEI-IN-792999443B86,SNR DISTRICT HOSPITAL,Standalone,Karnataka,Kolar,,2020-21,VERIFIED,S-17976,,2016
CEI-IN-BCA60D4AC7F9,VISWA BHARATHI SCHOOL OF NURSING BANGALORE,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-4412,,2004
CEI-IN-15A45742DA2A,VANIE NURSING SCHOOL BANGALORE URBAN,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-4392,,2006
CEI-IN-05AA4535A1C8,UNIVERSAL SCHOOL OF NURSING BANGALORE URBAN,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-4386,,2004
CEI-IN-33BA4AF29A4E,UNITY NURSING INSTITUTE SCHOOL OF NURSING DAKSHINA KANNADA,Standalone,Karnataka,Dakshina Kannada,,2020-21,VERIFIED,S-4385,,1983
CEI-IN-FCEF7651B8D3,GOVERNMENT POLYTECHNIC KUSHTAGI,Standalone,Karnataka,Koppal,,2020-21,VERIFIED,S-1269,,1996
CEI-IN-0743012583C0,GOVERNMENT WOMENS POLYTECHNIC HUBLI,Standalone,Karnataka,Dharwad,,2020-21,VERIFIED,S-1290,,1963
CEI-IN-2CF3474F1FEC,SHETTY POLYTECHNIC GULBURGA DIST.,Standalone,Karnataka,Kalaburagi,,2020-21,VERIFIED,S-1428,,2009
CEI-IN-905C8EB47D91,SMT L V (GOVT.) POLYTECHNIC HASSAN,Standalone,Karnataka,Hassan,,2020-21,VERIFIED,S-1442,,1949
CEI-IN-9153F4EBDEA8,"ARISTOTLE RURAL D.ED COLLEGE, MARIKUPPAM, KGF",Standalone,Karnataka,Kolar,,2020-21,VERIFIED,S-14574,,2008
CEI-IN-92248C83173B,MYRA School of Business,Standalone,Karnataka,Mysuru,,2020-21,VERIFIED,S-14858,,2012
CEI-IN-18BDE629D99E,"GOVT. TOOL ROOM AND TRAINING CENTRE, KANAKAPURA",Standalone,Karnataka,Bengaluru South,,2020-21,VERIFIED,S-15134,,2005
CEI-IN-8314AA157FE7,GOVT TOOL ROOM AND TRAINING CENTRE KOLAR,Standalone,Karnataka,Kolar,,2020-21,VERIFIED,S-15633,,2009
CEI-IN-7E884381CDF0,"KLES Institute of Nursing Sciences,Gokak.",Standalone,Karnataka,Belagavi,,2020-21,VERIFIED,S-17646,,2018
CEI-IN-87079B17EF0C,Dipali Institute Of Paramedical Sciences Dipali hospital,Standalone,Karnataka,Ballari,,2020-21,VERIFIED,S-17705,,2015
CEI-IN-408FBA9FA6BC,GANGA INSTITUTE OF PARA MEDICAL SCIENCES   CHANNAGIRI,Standalone,Karnataka,Davanagere,,2020-21,VERIFIED,S-18412,,-
CEI-IN-5D1A4C2BB5C6,THRUPTI INSTITUTE OF NURSING BANGALORE URBAN,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-4380,,2003
CEI-IN-3784FDBB68EB,"S J M SCHOOL OF NURSING, CHITRADURGA",Standalone,Karnataka,Chitradurga,,2020-21,VERIFIED,S-4319,,1993
CEI-IN-7BA1BD0CAF36,SRI ESHWARAMMAJI SCHOOL OF NURSING ( S E S O N) KOLAR,Standalone,Karnataka,Kolar,,2020-21,VERIFIED,S-4317,,2004
CEI-IN-A99750966D2D,SMT NARAYANI D R KARIGOWDA SCHOOL OF NURSING HASSAN,Standalone,Karnataka,Hassan,,2020-21,VERIFIED,S-4299,,1992
CEI-IN-EDB7D7F31AEE,SHRI BAHUBALI SCHOOL OF NURSING HASSAN,Standalone,Karnataka,Hassan,,2020-21,VERIFIED,S-4285,,2001
CEI-IN-ED371BD4D0B1,LATE SRI VEERBHADRAPPA DEVARKAL EDUCATION TRUST YADGIR,Standalone,Karnataka,Yadgir,,2020-21,VERIFIED,S-18875,,2019
CEI-IN-AA1F6FBA7281,P V S SCHOOL OF NURSING CHITRADURGA,Standalone,Karnataka,Chitradurga,,2020-21,VERIFIED,S-4198,,2003
CEI-IN-2C1B8DA901F7,NISARGA SCHOOL OF NURSING HASSAN,Standalone,Karnataka,Hassan,,2020-21,VERIFIED,S-4185,,2003
CEI-IN-FC3954923300,NIGHTINGALE SCHOOL OF DIPLOMA IN GENERAL NURSING & BIDAR,Standalone,Karnataka,Bidar,,2020-21,VERIFIED,S-4180,,2004
